Warming (2deg-years),Utility loss (%CBGE),Mitigation cost (%CBGE),Damage cost (%CBGE),Abat(2030)/.5degC (%),Abat(2050)/.5degC (%),95th damage cost (%BGE),95th max temp (degC)
378.37,2.05,0.01,2.04,1.93,2.03,3.21,8.06
378.56,2.05,0.01,2.04,2.29,2.14,3.20,8.01
380.50,2.06,0.01,2.05,2.05,2.00,3.22,8.06
381.49,2.05,0.01,2.04,2.84,2.20,3.18,7.95
382.40,2.07,0.01,2.06,1.75,1.87,3.26,8.20
383.14,2.06,0.01,2.05,2.40,2.01,3.22,8.04
384.69,2.08,0.01,2.07,0.79,1.43,3.28,8.21
387.19,2.09,0.01,2.08,1.30,1.52,3.31,8.29
387.52,2.08,0.01,2.08,1.19,1.47,3.27,8.16
389.77,2.10,0.00,2.10,0.68,1.24,3.35,8.39
390.56,2.10,0.00,2.09,1.23,1.40,3.29,8.21
392.98,2.11,0.00,2.11,0.84,1.16,3.36,8.39
396.34,2.13,0.00,2.13,0.01,0.70,3.42,8.54
396.81,2.13,0.00,2.13,0.39,0.87,3.38,8.40
401.14,2.15,0.00,2.15,0.00,0.46,3.43,8.52
407.28,2.18,0.00,2.18,0.00,0.05,3.52,8.74
351.32,1.94,0.03,1.91,4.82,3.87,2.92,7.31
352.16,1.94,0.03,1.91,4.63,3.74,2.96,7.45
353.38,1.95,0.03,1.92,4.97,3.84,2.96,7.42
354.26,1.95,0.03,1.92,4.24,3.58,2.99,7.53
355.37,1.96,0.03,1.93,4.14,3.50,3.00,7.56
356.49,1.96,0.02,1.94,4.11,3.47,3.03,7.64
357.39,1.96,0.02,1.93,5.66,3.93,2.96,7.43
357.77,1.96,0.02,1.94,4.23,3.44,3.02,7.59
359.29,1.97,0.02,1.94,4.66,3.58,3.01,7.55
360.46,1.97,0.02,1.95,4.23,3.34,3.01,7.55
361.47,1.98,0.02,1.96,3.76,3.16,3.05,7.66
361.71,1.98,0.02,1.95,4.33,3.30,3.02,7.63
363.03,1.98,0.02,1.96,4.35,3.37,3.05,7.65
364.39,1.99,0.02,1.97,3.68,3.06,3.04,7.64
365.49,1.99,0.02,1.98,3.60,3.00,3.09,7.74
365.75,1.99,0.02,1.97,3.72,3.07,3.06,7.69
367.27,2.00,0.02,1.98,3.85,3.00,3.07,7.70
368.29,2.01,0.02,1.99,2.85,2.64,3.12,7.82
368.73,2.00,0.02,1.99,3.50,2.83,3.08,7.71
370.44,2.01,0.01,1.99,3.97,3.02,3.09,7.80
371.38,2.02,0.01,2.00,2.53,2.39,3.15,7.93
371.84,2.02,0.01,2.00,3.40,2.77,3.12,7.84
372.99,2.03,0.01,2.01,2.78,2.50,3.18,8.00
374.03,2.02,0.01,2.01,3.34,2.65,3.10,7.77
374.85,2.03,0.01,2.02,2.52,2.36,3.16,7.95
376.47,2.04,0.01,2.03,2.08,2.15,3.20,8.03
376.68,2.04,0.01,2.03,2.14,2.13,3.18,7.95
332.46,1.88,0.05,1.83,6.27,4.86,2.79,6.93
333.21,1.88,0.05,1.83,6.33,4.70,2.81,7.03
334.10,1.89,0.05,1.84,5.51,4.56,2.83,7.07
335.13,1.89,0.05,1.84,6.21,4.76,2.79,6.93
335.87,1.89,0.05,1.84,6.00,4.67,2.83,7.06
337.43,1.90,0.04,1.86,5.19,4.30,2.92,7.37
338.49,1.90,0.04,1.85,5.68,4.48,2.84,7.07
339.38,1.90,0.04,1.86,5.38,4.36,2.85,7.09
340.50,1.90,0.04,1.86,6.06,4.60,2.83,7.07
341.38,1.90,0.04,1.86,5.49,4.52,2.82,7.13
342.49,1.91,0.04,1.87,6.36,4.72,2.84,7.10
343.19,1.91,0.04,1.87,5.27,4.21,2.86,7.11
344.39,1.91,0.04,1.87,6.31,4.59,2.85,7.12
345.45,1.91,0.04,1.88,6.16,4.57,2.85,7.13
345.97,1.92,0.03,1.89,5.44,4.20,2.91,7.27
346.99,1.93,0.03,1.89,6.05,4.10,2.91,7.27
348.28,1.93,0.03,1.89,5.86,4.29,2.91,7.26
349.27,1.93,0.03,1.90,5.28,4.11,2.89,7.25
349.97,1.94,0.03,1.91,4.91,3.91,2.96,7.43
350.78,1.93,0.03,1.90,5.74,4.20,2.88,7.20
317.50,1.83,0.07,1.76,7.92,5.93,2.59,6.29
318.24,1.83,0.07,1.76,7.55,5.77,2.60,6.27
319.39,1.84,0.07,1.77,6.75,5.40,2.65,6.38
320.39,1.84,0.07,1.77,7.62,5.72,2.62,6.34
321.36,1.85,0.06,1.79,6.11,4.93,2.73,6.81
322.32,1.85,0.06,1.78,7.99,5.81,2.69,6.67
323.08,1.85,0.06,1.79,7.14,5.39,2.68,6.61
323.82,1.85,0.06,1.79,6.95,5.52,2.71,6.73
325.43,1.86,0.06,1.80,7.08,5.43,2.71,6.62
326.30,1.86,0.06,1.80,7.89,5.69,2.71,6.77
326.88,1.86,0.06,1.80,6.22,5.02,2.72,6.69
328.40,1.87,0.05,1.81,5.84,4.81,2.78,6.90
329.15,1.87,0.05,1.81,7.08,5.18,2.78,7.01
